OBJECTID,ID,Name,LastUpdated,Area,Length
115,296000,Ashridge Estate,12/20/2016 3:45:35 PM,88254.8152084351,1501.91610242474
116,127427,Hatfield Forest,12/20/2016 3:45:35 PM,15176.5647583008,656.56194834861
117,127428,Whipsnade,12/20/2016 3:45:35 PM,27239.1551895142,727.584231301156
118,127422,Bourne Mill,12/20/2016 3:45:35 PM,15328.2834396362,567.035926982514
119,64199,Rayleigh Mount,12/20/2016 3:45:35 PM,16933.1028747559,500.660463070698
120,127410,Thorington Hall & Studio,12/20/2016 3:45:35 PM,11789.8739318848,433.562808404094
121,127482,Shaw's Corner,12/20/2016 3:45:35 PM,13580.6500396729,480.346148980472
122,127495,Northey Island,12/20/2016 3:45:35 PM,10925.732635498,609.800706587183
123,127424,Paycocke's House and Cottage,12/20/2016 3:45:35 PM,2455.83879089355,262.94775050887
124,127411,Thorington Hall & Studio,12/20/2016 3:45:35 PM,936.350952148438,137.393506470398
125,127425,Coggeshall Grange Barn,12/20/2016 3:45:35 PM,1989.89677429199,190.994062463429
126,2265096,Morven Park,12/20/2016 3:45:35 PM,9582.39636230469,414.690455413563
127,145007,Anglesey Abbey,12/20/2016 3:45:35 PM,473518.48626709,3574.19068127696
128,79890,Orford Ness,12/20/2016 3:45:35 PM,7472230.2227478,38955.2176449124
129,126807,Blakeney,12/20/2016 3:45:35 PM,5085804.63035583,16562.7555487589
130,127384,Wicken Fen,12/20/2016 3:45:35 PM,2128411.99858093,10534.9653105544
131,127404,Melford Hall,12/20/2016 3:45:35 PM,559548.430679321,3191.42275339115
132,142341,Horsey,12/20/2016 3:45:35 PM,346657.123062134,7729.97693319954
133,127399,Wimpole,12/20/2016 3:45:35 PM,167774.156295776,2587.01819769619
134,79892,Orford Ness,12/20/2016 3:45:35 PM,162647.054321289,2827.40735029752
135,127365,Blickling,12/20/2016 3:45:35 PM,162860.770050049,2099.74906638406
136,79893,Orford Ness,12/20/2016 3:45:35 PM,134518.154312134,4755.64419409533
137,126837,Oxburgh Hall,12/20/2016 3:45:35 PM,124294.811004639,1848.6007779659
138,127374,Oxburgh Hall,12/20/2016 3:45:35 PM,95061.6247711182,1793.02642667115
139,127364,Felbrigg,12/20/2016 3:45:35 PM,19895.5601196289,643.111758269487
140,298487,Ickworth,12/20/2016 3:45:35 PM,34654.2917480469,820.296886053811
141,127368,Peckover House,12/20/2016 3:45:35 PM,9201.34880065918,464.151010710986
142,127366,St George's Guildhall,12/20/2016 3:45:35 PM,3184.62504577637,330.82805340707
143,127391,Theatre Royal,12/20/2016 3:45:35 PM,939.577255249023,127.271920989064
144,127403,Guildhall Of Corpus Christi,12/20/2016 3:45:35 PM,2014.20133972168,182.5295401228
145,144851,Ramsey Abbey Gatehouse,12/20/2016 3:45:35 PM,443.891632080078,105.65892756841
146,144850,Houghton Mill,12/20/2016 3:45:35 PM,394.048065185547,91.1617002139842
147,144849,Willington,12/20/2016 3:45:35 PM,140.52904510498,47.6878398221983
148,144663,"4 South Quay, Great Yarmouth",12/20/2016 3:45:35 PM,251.956329345703,63.8181838759515
149,1481223,Wicken Fen,12/20/2016 3:45:35 PM,1934127.07940674,9117.06168615422
150,1481224,Wicken Fen,12/20/2016 3:45:35 PM,868210.038909912,6328.70754603688
151,2672595,Felbrigg,12/20/2016 3:45:35 PM,10788.359954834,415.892549268833
152,,Peckover House,12/20/2016 3:45:35 PM,105080.471801758,1551.4315890705
153,116147,Langdon Cliffs & Foxhill Down,12/20/2016 3:45:35 PM,7812.74267578125,355.374990306344
154,127218,Petworth House and Park,12/20/2016 3:45:35 PM,2908354.96257019,7677.59683133754
155,177301,Stowe,12/20/2016 3:45:35 PM,2709474.80588531,20314.2419426105
156,127187,Basildon Park,12/20/2016 3:45:35 PM,1608679.5502243,5929.90331439141
157,127254,Cliveden Estate,12/20/2016 3:45:35 PM,1114794.84632111,10193.3791423783
158,127202,Hatchlands Park,12/20/2016 3:45:35 PM,745142.831924438,4774.44313192227
159,116140,Selsdon Wood,12/20/2016 3:45:35 PM,791917.985626221,3706.46741658228
160,116150,Wakehurst Place,12/20/2016 3:45:35 PM,595100.486747742,6702.46244979479
161,127429,Waddesdon Manor,12/20/2016 3:45:35 PM,504765.98614502,4740.38908206709
162,116839,Winkworth Arboretum,12/20/2016 3:45:35 PM,477896.622146606,5123.37922391483
163,189588,Osterley Park and House,12/20/2016 3:45:35 PM,415868.913833618,4596.50496555628
164,296018,Ashridge Estate,12/20/2016 3:45:35 PM,395338.095108032,4495.66040115974
165,127434,Ashridge Estate,12/20/2016 3:45:35 PM,357097.419555664,3299.41217604762
166,116148,Standen House and Garden,12/20/2016 3:45:35 PM,150189.804161072,3598.25150484519
167,141765,Polesden Lacey,12/20/2016 3:45:35 PM,266304.456939697,4444.58703015489
168,116818,Claremont Landscape Garden,12/20/2016 3:45:35 PM,203567.641090393,1934.0425963384
169,127259,Uppark House and Garden,12/20/2016 3:45:35 PM,188446.017478943,3026.81156198145
170,127460,West Wycombe Park,12/20/2016 3:45:35 PM,194229.765563965,2902.33795933568
171,117188,River Wey Navigations,12/20/2016 3:45:35 PM,171019.028900146,14789.9691485368
172,116815,Nymans Estate,12/20/2016 3:45:35 PM,109397.762561798,1819.35386254772
173,177304,Stowe,12/20/2016 3:45:35 PM,101931.57749939,3705.67993389339
174,177423,Mottisfont,12/20/2016 3:45:35 PM,94473.4284477234,1633.24909931513
175,177294,Stowe,12/20/2016 3:45:35 PM,86118.0721130371,1523.74081973294
176,117125,River Wey Navigations,12/20/2016 3:45:35 PM,81999.725440979,7806.39930517123
177,127484,Boarstall Duck Decoy,12/20/2016 3:45:35 PM,72374.7093658447,1582.33420542059
178,117187,River Wey Navigations,12/20/2016 3:45:35 PM,72144.8987884521,6088.29802680192
179,116144,Chartwell,12/20/2016 3:45:35 PM,66376.7644882202,1534.2798109591
180,173187,Ashridge Estate,12/20/2016 3:45:35 PM,62008.1911087036,1016.53171543697
181,122842,Clandon Park,12/20/2016 3:45:35 PM,58762.4628295898,1094.38869092852
182,177446,Vyne Estate,12/20/2016 3:45:35 PM,80044.5477600098,1962.29050830314
183,117029,River Wey Navigations,12/20/2016 3:45:35 PM,51543.7145080566,5088.44278411784
184,127191,Ham House and Garden,12/20/2016 3:45:35 PM,53487.025428772,978.259403627389
185,116143,Ightham Mote,12/20/2016 3:45:35 PM,51472.1542053223,1021.49728804606
186,116753,Scotney Castle,12/20/2016 3:45:35 PM,54481.013168335,1117.24546462187
187,116137,Morden Hall Park,12/20/2016 3:45:35 PM,45717.7971878052,1089.84601386126
188,179842,Bramber Castle,12/20/2016 3:45:35 PM,42202.7913208008,881.304676849721
189,127420,Claydon House,12/20/2016 3:45:35 PM,36032.6437530518,1843.39479127714
190,177488,Dorneywood House and Gardens,12/20/2016 3:45:35 PM,31320.186164856,1016.86797864781
191,177444,Hinton Ampner,12/20/2016 3:45:35 PM,50494.6591072083,1224.09378134504
192,127203,River Wey Navigations,12/20/2016 3:45:35 PM,29552.026725769,2116.98392260385
193,116981,River Wey Navigations,12/20/2016 3:45:35 PM,28448.2365722656,2165.89264268006
194,140699,Mottistone Estate,12/20/2016 3:45:35 PM,26056.4560890198,760.803777851026
195,127185,Greys Court,12/20/2016 3:45:35 PM,45454.0081787109,1267.07743105252
196,127225,"Monk's House, Rodmell",12/20/2016 3:45:35 PM,7732.69281005859,403.482216740388
197,117031,River Wey Navigations,12/20/2016 3:45:35 PM,24342.7205657959,1840.86469306402
198,141937,Toys Hill,12/20/2016 3:45:35 PM,85422.9755630493,2430.17102375796
199,117035,River Wey Navigations,12/20/2016 3:45:35 PM,19113.4017715454,1579.70023047239
200,127498,Hughenden,12/20/2016 3:45:35 PM,21885.4267959595,600.955011941499
201,127201,West Green House,12/20/2016 3:45:35 PM,20381.7877731323,652.666501780886
202,116751,Sissinghurst Castle Garden,12/20/2016 3:45:35 PM,16985.239906311,579.898618092351
203,116978,Bodiam Castle,12/20/2016 3:45:35 PM,17210.0553817749,512.416091795991
204,116157,Bateman's,12/20/2016 3:45:35 PM,17699.7146530151,751.675892495528
205,116141,Knole,12/20/2016 3:45:35 PM,108443.453010559,1379.9735723068
206,173193,Ashridge Estate,12/20/2016 3:45:35 PM,16451.4376525879,539.196982250114
207,127206,River Wey Navigations,12/20/2016 3:45:35 PM,17437.1605453491,2307.57185283253
208,127186,Basildon Park,12/20/2016 3:45:35 PM,16927.3796768188,770.30870579553
209,116754,St John's Jerusalem,12/20/2016 3:45:35 PM,20247.6508331299,558.233436573606
210,127189,"The Goswells, Windsor",12/20/2016 3:45:35 PM,11270.9533081055,451.701415519976
211,117039,River Wey Navigations,12/20/2016 3:45:35 PM,10434.7379074097,1567.8852263936
212,117196,Owletts,12/20/2016 3:45:35 PM,3908.11282348633,399.692435550927
